# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1232691	1232891	-							NELON_RS06060	201		old_locus_tag=NELON_06385
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1232691	1232891	-	WP_040665707.1	WP_040665707.1		hypothetical protein			NELON_RS06060	201	66	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1233120	1233656	+							NELON_RS06065	537		old_locus_tag=NELON_06390
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1233120	1233656	+	WP_003770641.1	WP_003770641.1		anaerobic ribonucleoside-triphosphate reductase activating protein			NELON_RS06065	537	178	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1233692	1235473	+							NELON_RS06070	1782		old_locus_tag=NELON_06395
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1233692	1235473	+	WP_041961393.1	WP_041961393.1		anaerobic ribonucleoside-triphosphate reductase			NELON_RS06070	1782	593	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1235772	1236542	+							NELON_RS06075	771		old_locus_tag=NELON_06400
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1235772	1236542	+	WP_041961394.1	WP_041961394.1		DeoR family transcriptional regulator			NELON_RS06075	771	256	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1236554	1237036	+							NELON_RS06080	483		old_locus_tag=NELON_06405
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1236554	1237036	+	WP_041961608.1	WP_041961608.1		DUF3465 domain-containing protein			NELON_RS06080	483	160	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1237193	1237642	-							NELON_RS06085	450		old_locus_tag=NELON_06410
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1237193	1237642	-	WP_003770654.1	WP_003770654.1		dihydroneopterin triphosphate diphosphatase			NELON_RS06085	450	149	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1237632	1239083	-							NELON_RS06090	1452		old_locus_tag=NELON_06415
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1237632	1239083	-	WP_041961395.1	WP_041961395.1		membrane protein			NELON_RS06090	1452	483	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1239191	1239829	+							NELON_RS06095	639		old_locus_tag=NELON_06420
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1239191	1239829	+	WP_052437435.1	WP_052437435.1		YecA family protein			NELON_RS06095	639	212	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1239986	1242034	-							NELON_RS06100	2049		old_locus_tag=NELON_06425
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1239986	1242034	-	WP_082019642.1	WP_082019642.1		TonB-dependent receptor			NELON_RS06100	2049	682	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1242425	1244056	-					pyrG		NELON_RS06105	1632		old_locus_tag=NELON_06430
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1242425	1244056	-	WP_003770668.1	WP_003770668.1		CTP synthase	pyrG		NELON_RS06105	1632	543	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1244173	1245981	-							NELON_RS06110	1809		old_locus_tag=NELON_06435
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1244173	1245981	-	WP_003770670.1	WP_003770670.1		dihydrolipoyl dehydrogenase			NELON_RS06110	1809	602	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1246036	1246293	-							NELON_RS06115	258		old_locus_tag=NELON_06440
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1246036	1246293	-	WP_003770673.1	WP_003770673.1		membrane protein			NELON_RS06115	258	85	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1246386	1248020	-							NELON_RS06120	1635		old_locus_tag=NELON_06445
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1246386	1248020	-	WP_041961398.1	WP_041961398.1		dihydrolipoyllysine-residue acetyltransferase			NELON_RS06120	1635	544	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1248079	1248675	-							NELON_RS06125	597		old_locus_tag=NELON_06450
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1248079	1248675	-	WP_003770081.1	WP_003770081.1		hypothetical protein			NELON_RS06125	597	198	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1248738	1251407	-							NELON_RS06130	2670		old_locus_tag=NELON_06455
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1248738	1251407	-	WP_003770082.1	WP_003770082.1		pyruvate dehydrogenase (acetyl-transferring), homodimeric type			NELON_RS06130	2670	889	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1251850	1252482	-							NELON_RS06135	633		old_locus_tag=NELON_06460
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1251850	1252482	-	WP_003770084.1	WP_003770084.1		Smr domain protein			NELON_RS06135	633	210	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1252621	1253514	-							NELON_RS06140	894		old_locus_tag=NELON_06465
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1252621	1253514	-	WP_041961399.1	WP_041961399.1		polyamine ABC transporter permease			NELON_RS06140	894	297	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1253507	1254481	-							NELON_RS06145	975		old_locus_tag=NELON_06470
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1253507	1254481	-	WP_003770086.1	WP_003770086.1		putrescine/spermidine ABC transporter permease			NELON_RS06145	975	324	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1254495	1255613	-							NELON_RS06150	1119		old_locus_tag=NELON_06475
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1254495	1255613	-	WP_003770088.1	WP_003770088.1		polyamine ABC transporter ATP-binding protein			NELON_RS06150	1119	372	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1256055	1256714	-							NELON_RS06155	660		old_locus_tag=NELON_06480
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1256055	1256714	-	WP_003770090.1	WP_003770090.1		7-cyano-7-deazaguanine synthase QueC			NELON_RS06155	660	219	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1257283	1257864	+							NELON_RS06160	582		old_locus_tag=NELON_06490
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1257283	1257864	+	WP_003770093.1	WP_003770093.1		superoxide dismutase			NELON_RS06160	582	193	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1257937	1258602	-							NELON_RS06165	666		old_locus_tag=NELON_06495
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1257937	1258602	-	WP_003770094.1	WP_003770094.1		HAD family hydrolase			NELON_RS06165	666	221	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1258657	1259334	-							NELON_RS06170	678		old_locus_tag=NELON_06500
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1258657	1259334	-	WP_003770095.1	WP_003770095.1		VUT family protein			NELON_RS06170	678	225	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1259331	1259804	-							NELON_RS06175	474		old_locus_tag=NELON_06505
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1259331	1259804	-	WP_003770096.1	WP_003770096.1		NADPH-dependent 7-cyano-7-deazaguanine reductase QueF			NELON_RS06175	474	157	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1260408	1262006	+							NELON_RS06185	1599		old_locus_tag=NELON_06515
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1260408	1262006	+	WP_041961401.1	WP_041961401.1		isocitrate lyase			NELON_RS06185	1599	532	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1262272	1262514	-							NELON_RS06190	243		old_locus_tag=NELON_06520
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1262272	1262514	-	WP_041961402.1	WP_041961402.1		glutaredoxin family protein			NELON_RS06190	243	80	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1262633	1263766	+							NELON_RS06195	1134		old_locus_tag=NELON_06525
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1262633	1263766	+	WP_040665610.1	WP_040665610.1		hypothetical protein			NELON_RS06195	1134	377	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1263848	1264726	+							NELON_RS06200	879		old_locus_tag=NELON_06530
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1263848	1264726	+	WP_041961403.1	WP_041961403.1		EamA/RhaT family transporter			NELON_RS06200	879	292	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1264853	1265482	-							NELON_RS06205	630		old_locus_tag=NELON_06535
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1264853	1265482	-	WP_041961404.1	WP_041961404.1		DUF2238 domain-containing protein			NELON_RS06205	630	209	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1265528	1266127	-							NELON_RS06210	600		old_locus_tag=NELON_06540
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1265528	1266127	-	WP_003770107.1	WP_003770107.1		CDP-alcohol phosphatidyltransferase family protein			NELON_RS06210	600	199	
gene	pseudogene	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1266326	1266843	+							NELON_RS06215	518		pseudo
CDS	without_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1266326	1266843	+				hypothetical protein			NELON_RS06215	518		pseudo
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1266973	1268268	-							NELON_RS06220	1296		old_locus_tag=NELON_06550
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1266973	1268268	-	WP_041961405.1	WP_041961405.1		adenylosuccinate synthase			NELON_RS06220	1296	431	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1268375	1269526	-							NELON_RS06225	1152		old_locus_tag=NELON_06555
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1268375	1269526	-	WP_040665635.1	WP_040665635.1		ATP phosphoribosyltransferase regulatory subunit			NELON_RS06225	1152	383	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1269684	1270703	-							NELON_RS06230	1020		old_locus_tag=NELON_06560
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1269684	1270703	-	WP_003770117.1	WP_003770117.1		lipopolysaccharide heptosyltransferase II			NELON_RS06230	1020	339	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1270935	1271756	+							NELON_RS06235	822		old_locus_tag=NELON_06565
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1270935	1271756	+	WP_003770121.1	WP_003770121.1		hypothetical protein			NELON_RS06235	822	273	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1271825	1272019	-							NELON_RS06240	195		old_locus_tag=NELON_06570
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1271825	1272019	-	WP_040665611.1	WP_040665611.1		zinc-finger domain-containing protein			NELON_RS06240	195	64	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1272152	1273195	+							NELON_RS06245	1044		old_locus_tag=NELON_06575
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1272152	1273195	+	WP_003770125.1	WP_003770125.1		tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA			NELON_RS06245	1044	347	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1273252	1273905	-							NELON_RS06250	654		old_locus_tag=NELON_06580
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1273252	1273905	-	WP_003770126.1	WP_003770126.1		nickel-dependent hydrogenase b-type cytochrome subunit			NELON_RS06250	654	217	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1273995	1274867	-							NELON_RS06255	873		old_locus_tag=NELON_06585
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1273995	1274867	-	WP_049249363.1	WP_049249363.1		YicC family protein			NELON_RS06255	873	290	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1274965	1275693	+							NELON_RS06260	729		old_locus_tag=NELON_06590
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1274965	1275693	+	WP_041961406.1	WP_041961406.1		ribonuclease PH			NELON_RS06260	729	242	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1275707	1276267	+							NELON_RS06265	561		old_locus_tag=NELON_06595
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1275707	1276267	+	WP_003770133.1	WP_003770133.1		pseudouridine synthase			NELON_RS06265	561	186	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1276585	1277409	+							NELON_RS06270	825		old_locus_tag=NELON_06600
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1276585	1277409	+	WP_003770135.1	WP_003770135.1		proline/glycine betaine ABC transporter ATP-binding protein			NELON_RS06270	825	274	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1277511	1279028	+							NELON_RS06275	1518		old_locus_tag=NELON_06605
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1277511	1279028	+	WP_003770137.1	WP_003770137.1		glycine/betaine ABC transporter permease			NELON_RS06275	1518	505	
gene	pseudogene	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1279204	1279305	+							NELON_RS06280	102		partial;pseudo
CDS	without_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1279204	1279305	+				alcohol dehydrogenase			NELON_RS06280	102		partial;pseudo
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1279489	1279827	-							NELON_RS06285	339		old_locus_tag=NELON_06615
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1279489	1279827	-	WP_003770144.1	WP_003770144.1		transcriptional regulator			NELON_RS06285	339	112	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1279908	1280087	-							NELON_RS06290	180		old_locus_tag=NELON_06620
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1279908	1280087	-	WP_003770146.1	WP_003770146.1		hypothetical protein			NELON_RS06290	180	59	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1280219	1281622	-							NELON_RS06295	1404		old_locus_tag=NELON_06625
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1280219	1281622	-	WP_003770148.1	WP_003770148.1		uroporphyrinogen-III C-methyltransferase			NELON_RS06295	1404	467	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1281824	1283389	+							NELON_RS06300	1566		old_locus_tag=NELON_06630
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1281824	1283389	+	WP_003740869.1	WP_003740869.1		glutamine-hydrolyzing GMP synthase			NELON_RS06300	1566	521	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1283520	1285025	+							NELON_RS06305	1506		old_locus_tag=NELON_06635
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1283520	1285025	+	WP_003770151.1	WP_003770151.1		exopolyphosphatase			NELON_RS06305	1506	501	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1285035	1285706	+							NELON_RS06310	672		old_locus_tag=NELON_06640
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1285035	1285706	+	WP_003770153.1	WP_003770153.1		hypothetical protein			NELON_RS06310	672	223	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1285964	1286176	+							NELON_RS06315	213		old_locus_tag=NELON_06645
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1285964	1286176	+	WP_003770158.1	WP_003770158.1		30S ribosomal protein S21			NELON_RS06315	213	70	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1286273	1286719	+							NELON_RS06320	447		old_locus_tag=NELON_06650
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1286273	1286719	+	WP_003770159.1	WP_003770159.1		GatB/YqeY domain-containing protein			NELON_RS06320	447	148	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1286730	1287071	+							NELON_RS06325	342		old_locus_tag=NELON_06655
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1286730	1287071	+	WP_003770161.1	WP_003770161.1		hypothetical protein			NELON_RS06325	342	113	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1287252	1287635	-							NELON_RS06330	384		
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1287252	1287635	-	WP_003770162.1	WP_003770162.1		hypothetical protein			NELON_RS06330	384	127	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1288038	1288844	-							NELON_RS06335	807		old_locus_tag=NELON_06665
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1288038	1288844	-	WP_040665615.1	WP_040665615.1		DUF4198 domain-containing protein			NELON_RS06335	807	268	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1288974	1289426	+							NELON_RS06340	453		old_locus_tag=NELON_06675
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1288974	1289426	+	WP_003770169.1	WP_003770169.1		dUTP diphosphatase			NELON_RS06340	453	150	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1289606	1290028	-							NELON_RS06345	423		old_locus_tag=NELON_06680
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1289606	1290028	-	WP_003770172.1	WP_003770172.1		hypothetical protein			NELON_RS06345	423	140	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1290145	1290591	+							NELON_RS06350	447		old_locus_tag=NELON_06685
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1290145	1290591	+	WP_041961407.1	WP_041961407.1		SsrA-binding protein SmpB			NELON_RS06350	447	148	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1290665	1291153	-							NELON_RS06355	489		old_locus_tag=NELON_06690
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1290665	1291153	-	WP_003770175.1	WP_003770175.1		dihydrofolate reductase			NELON_RS06355	489	162	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1291318	1291776	+							NELON_RS06360	459		old_locus_tag=NELON_06695
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1291318	1291776	+	WP_003770176.1	WP_003770176.1		transcriptional repressor			NELON_RS06360	459	152	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1291767	1292690	+							NELON_RS06365	924		old_locus_tag=NELON_06700
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1291767	1292690	+	WP_041961408.1	WP_041961408.1		GTP-binding protein			NELON_RS06365	924	307	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1292895	1294184	-							NELON_RS06370	1290		old_locus_tag=NELON_06705
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1292895	1294184	-	WP_040665619.1	WP_040665619.1		ATPase			NELON_RS06370	1290	429	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1294480	1296024	-							NELON_RS06375	1545		old_locus_tag=NELON_06710
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1294480	1296024	-	WP_003770186.1	WP_003770186.1		L-aspartate oxidase			NELON_RS06375	1545	514	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1296076	1297188	-							NELON_RS06380	1113		old_locus_tag=NELON_06715
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1296076	1297188	-	WP_003764644.1	WP_003764644.1		quinolinate synthase NadA			NELON_RS06380	1113	370	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1297390	1298328	+							NELON_RS06385	939		old_locus_tag=NELON_06720
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1297390	1298328	+	WP_041961409.1	WP_041961409.1		membrane protein			NELON_RS06385	939	312	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1298557	1299438	+							NELON_RS06390	882		old_locus_tag=NELON_06725
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1298557	1299438	+	WP_040665621.1	WP_040665621.1		nicotinate-nucleotide diphosphorylase (carboxylating)			NELON_RS06390	882	293	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1299717	1301393	+							NELON_RS06395	1677		old_locus_tag=NELON_06730
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1299717	1301393	+	WP_003756559.1	WP_003756559.1		energy-dependent translational throttle protein EttA			NELON_RS06395	1677	558	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1301595	1302164	+							NELON_RS06400	570		old_locus_tag=NELON_06735
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1301595	1302164	+	WP_004565719.1	WP_004565719.1		hypothetical protein			NELON_RS06400	570	189	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1302246	1303337	+							NELON_RS06405	1092		old_locus_tag=NELON_06740
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1302246	1303337	+	WP_004565720.1	WP_004565720.1		redox-regulated ATPase YchF			NELON_RS06405	1092	363	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1303426	1304043	+							NELON_RS06410	618		old_locus_tag=NELON_06745
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1303426	1304043	+	WP_004565721.1	WP_004565721.1		hypothetical protein			NELON_RS06410	618	205	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1304135	1305433	+							NELON_RS06415	1299		old_locus_tag=NELON_06750
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1304135	1305433	+	WP_004565722.1	WP_004565722.1		tyrosine--tRNA ligase			NELON_RS06415	1299	432	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1305566	1307275	+							NELON_RS06420	1710		old_locus_tag=NELON_06755
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1305566	1307275	+	WP_004565723.1	WP_004565723.1		proline--tRNA ligase			NELON_RS06420	1710	569	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1307426	1307608	+							NELON_RS11695	183		
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1307426	1307608	+	WP_081456059.1	WP_081456059.1		hypothetical protein			NELON_RS11695	183	60	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1307692	1308561	-							NELON_RS06425	870		old_locus_tag=NELON_06760
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1307692	1308561	-	WP_004565725.1	WP_004565725.1		acetyl-CoA carboxylase carboxyltransferase subunit beta			NELON_RS06425	870	289	
gene	pseudogene	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1308742	1308974	-							NELON_RS06430	233		pseudo
CDS	without_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1308742	1308974	-				colicin immunity protein			NELON_RS06430	233		pseudo
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1309009	1309800	-							NELON_RS06435	792		old_locus_tag=NELON_06770
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1309009	1309800	-	WP_004565727.1	WP_004565727.1		tryptophan synthase subunit alpha			NELON_RS06435	792	263	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1309873	1310070	-							NELON_RS11700	198		
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1309873	1310070	-	WP_004565728.1	WP_004565728.1		hypothetical protein			NELON_RS11700	198	65	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1310427	1310621	-							NELON_RS11705	195		
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1310427	1310621	-	WP_082019662.1	WP_082019662.1		hypothetical protein			NELON_RS11705	195	64	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1311000	1311203	-							NELON_RS06450	204		old_locus_tag=NELON_06785
